Length of dataset:  36837
2021-06-12 14:12:11.029474
Cuda enabled:  True
{'root_dir': 'data/test/', 'save_dir': 'data/test/results_3_prop/0/', 'disable_cuda': False, 'workers': 0, 'epochs': 2, 'start_epoch': 0, 'batch_size': 10, 'lr': 0.01, 'lr_milestones': [200, 400, 600, 800], 'momentum': 0.9, 'weight_decay': 0, 'print_freq': 10, 'resume': '', 'train_size': 22102, 'val_size': 7367, 'test_size': 7368, 'optimizer': 'Adam', 'atom_fea_len': 64, 'h_fea_len': 32, 'n_conv': 1, 'n_hp': 1, 'scheduler': 'MultiStepLR', 'metric': 'rmse', 'seed': 887, 'weights': None, 'dropout': 0, 'cuda': True}
Loading datasets...
Predicting  3  properties!!
Epoch: [0][400/2211]	Time 0.894 (1.010)	Data 0.880 (0.996)	Loss 0.1260 (0.4187)	ERR 0.327 (0.606)
Epoch: [0][410/2211]	Time 0.788 (1.007)	Data 0.776 (0.993)	Loss 0.4616 (0.4157)	ERR 0.635 (0.603)
Epoch: [0][420/2211]	Time 1.201 (1.006)	Data 1.187 (0.992)	Loss 0.2817 (0.4128)	ERR 0.516 (0.601)
Epoch: [0][430/2211]	Time 0.886 (1.000)	Data 0.869 (0.986)	Loss 0.3672 (0.4089)	ERR 0.582 (0.598)
Epoch: [0][440/2211]	Time 0.691 (0.997)	Data 0.679 (0.983)	Loss 0.0831 (0.4051)	ERR 0.286 (0.594)
Epoch: [0][450/2211]	Time 0.704 (0.996)	Data 0.690 (0.982)	Loss 0.2147 (0.4023)	ERR 0.411 (0.592)
Epoch: [0][460/2211]	Time 0.784 (0.995)	Data 0.771 (0.981)	Loss 0.5742 (0.4021)	ERR 0.723 (0.592)
Epoch: [0][470/2211]	Time 1.036 (0.995)	Data 1.022 (0.981)	Loss 0.1891 (0.4014)	ERR 0.401 (0.590)
Epoch: [0][480/2211]	Time 1.045 (0.992)	Data 1.028 (0.978)	Loss 0.2639 (0.3983)	ERR 0.510 (0.588)
Epoch: [0][490/2211]	Time 0.566 (0.990)	Data 0.552 (0.977)	Loss 0.4978 (0.3994)	ERR 0.669 (0.588)
Epoch: [0][500/2211]	Time 0.806 (0.986)	Data 0.790 (0.972)	Loss 0.2817 (0.3978)	ERR 0.496 (0.587)
Epoch: [0][510/2211]	Time 0.713 (0.984)	Data 0.702 (0.970)	Loss 0.2439 (0.3946)	ERR 0.482 (0.584)
Epoch: [0][520/2211]	Time 0.867 (0.981)	Data 0.855 (0.967)	Loss 0.4396 (0.3916)	ERR 0.663 (0.582)
Epoch: [0][530/2211]	Time 0.515 (0.979)	Data 0.500 (0.966)	Loss 0.1318 (0.3896)	ERR 0.362 (0.580)
Epoch: [0][540/2211]	Time 1.444 (0.979)	Data 1.433 (0.965)	Loss 0.1892 (0.3879)	ERR 0.395 (0.578)
Epoch: [0][550/2211]	Time 0.615 (0.978)	Data 0.600 (0.965)	Loss 0.2001 (0.3866)	ERR 0.433 (0.577)
Epoch: [0][560/2211]	Time 1.102 (0.976)	Data 1.090 (0.963)	Loss 0.2294 (0.3849)	ERR 0.425 (0.576)
Epoch: [0][570/2211]	Time 0.550 (0.975)	Data 0.537 (0.961)	Loss 0.1012 (0.3836)	ERR 0.311 (0.575)
Epoch: [0][580/2211]	Time 0.899 (0.972)	Data 0.887 (0.958)	Loss 0.2947 (0.3809)	ERR 0.500 (0.573)
Epoch: [0][590/2211]	Time 0.961 (0.969)	Data 0.948 (0.955)	Loss 0.1771 (0.3791)	ERR 0.405 (0.571)
Epoch: [0][600/2211]	Time 0.828 (0.967)	Data 0.811 (0.953)	Loss 0.2026 (0.3779)	ERR 0.446 (0.570)
Epoch: [0][610/2211]	Time 0.895 (0.966)	Data 0.882 (0.952)	Loss 0.1011 (0.3756)	ERR 0.314 (0.568)
Epoch: [0][620/2211]	Time 0.839 (0.963)	Data 0.826 (0.949)	Loss 0.1437 (0.3731)	ERR 0.356 (0.565)
Epoch: [0][630/2211]	Time 0.958 (0.961)	Data 0.946 (0.947)	Loss 0.2353 (0.3704)	ERR 0.424 (0.563)
Epoch: [0][640/2211]	Time 1.310 (0.960)	Data 1.298 (0.946)	Loss 0.4809 (0.3691)	ERR 0.623 (0.562)
Epoch: [0][650/2211]	Time 0.795 (0.960)	Data 0.782 (0.946)	Loss 0.1178 (0.3682)	ERR 0.343 (0.561)
Epoch: [0][660/2211]	Time 0.981 (0.963)	Data 0.968 (0.949)	Loss 0.4476 (0.3675)	ERR 0.666 (0.560)
Epoch: [0][670/2211]	Time 0.909 (0.962)	Data 0.898 (0.948)	Loss 0.1852 (0.3664)	ERR 0.395 (0.559)
Epoch: [0][680/2211]	Time 0.649 (0.959)	Data 0.637 (0.945)	Loss 0.1228 (0.3650)	ERR 0.327 (0.558)
Epoch: [0][690/2211]	Time 0.928 (0.957)	Data 0.915 (0.943)	Loss 0.1816 (0.3638)	ERR 0.426 (0.557)
Epoch: [0][700/2211]	Time 1.120 (0.955)	Data 1.102 (0.941)	Loss 0.7510 (0.3632)	ERR 0.763 (0.556)
Epoch: [0][710/2211]	Time 0.814 (0.954)	Data 0.800 (0.940)	Loss 0.2216 (0.3612)	ERR 0.450 (0.555)
Epoch: [0][720/2211]	Time 0.551 (0.952)	Data 0.537 (0.939)	Loss 0.0976 (0.3590)	ERR 0.303 (0.553)
Epoch: [0][730/2211]	Time 0.588 (0.952)	Data 0.574 (0.938)	Loss 0.1884 (0.3572)	ERR 0.427 (0.551)
Epoch: [0][740/2211]	Time 1.098 (0.953)	Data 1.085 (0.939)	Loss 0.2228 (0.3573)	ERR 0.401 (0.551)
Epoch: [0][750/2211]	Time 0.746 (0.951)	Data 0.734 (0.937)	Loss 0.5897 (0.3560)	ERR 0.766 (0.550)
Epoch: [0][760/2211]	Time 0.567 (0.949)	Data 0.555 (0.935)	Loss 0.2344 (0.3554)	ERR 0.482 (0.550)
Epoch: [0][770/2211]	Time 0.956 (0.948)	Data 0.942 (0.934)	Loss 0.1663 (0.3539)	ERR 0.384 (0.548)
Epoch: [0][780/2211]	Time 0.843 (0.947)	Data 0.828 (0.933)	Loss 0.6305 (0.3533)	ERR 0.794 (0.548)
Epoch: [0][790/2211]	Time 1.153 (0.945)	Data 1.140 (0.931)	Loss 0.3947 (0.3524)	ERR 0.597 (0.547)
Epoch: [0][800/2211]	Time 1.004 (0.944)	Data 0.991 (0.931)	Loss 0.2865 (0.3510)	ERR 0.529 (0.546)
Epoch: [0][810/2211]	Time 0.600 (0.944)	Data 0.586 (0.930)	Loss 0.1089 (0.3496)	ERR 0.330 (0.545)
Epoch: [0][820/2211]	Time 0.878 (0.943)	Data 0.864 (0.929)	Loss 0.2350 (0.3495)	ERR 0.480 (0.545)
Epoch: [0][830/2211]	Time 1.459 (0.943)	Data 1.443 (0.930)	Loss 0.1647 (0.3477)	ERR 0.404 (0.543)
Epoch: [0][840/2211]	Time 0.664 (0.942)	Data 0.650 (0.928)	Loss 0.2011 (0.3473)	ERR 0.417 (0.543)
Epoch: [0][850/2211]	Time 0.815 (0.941)	Data 0.801 (0.927)	Loss 0.1317 (0.3464)	ERR 0.338 (0.542)
Epoch: [0][860/2211]	Time 0.676 (0.938)	Data 0.661 (0.925)	Loss 0.1401 (0.3451)	ERR 0.340 (0.541)
Epoch: [0][870/2211]	Time 0.905 (0.939)	Data 0.893 (0.925)	Loss 0.1632 (0.3435)	ERR 0.387 (0.540)
Epoch: [0][880/2211]	Time 0.935 (0.938)	Data 0.923 (0.924)	Loss 0.2312 (0.3424)	ERR 0.471 (0.539)
Epoch: [0][890/2211]	Time 0.805 (0.937)	Data 0.793 (0.924)	Loss 0.6106 (0.3415)	ERR 0.653 (0.538)
Epoch: [0][900/2211]	Time 0.839 (0.936)	Data 0.825 (0.922)	Loss 0.2841 (0.3397)	ERR 0.479 (0.536)
Epoch: [0][910/2211]	Time 0.720 (0.936)	Data 0.706 (0.922)	Loss 0.4421 (0.3394)	ERR 0.548 (0.536)
Epoch: [0][920/2211]	Time 0.835 (0.935)	Data 0.823 (0.921)	Loss 0.1215 (0.3394)	ERR 0.341 (0.535)
Epoch: [0][930/2211]	Time 0.578 (0.934)	Data 0.564 (0.921)	Loss 0.2117 (0.3383)	ERR 0.417 (0.534)
Epoch: [0][940/2211]	Time 0.707 (0.932)	Data 0.692 (0.918)	Loss 0.1163 (0.3368)	ERR 0.338 (0.533)
Epoch: [0][950/2211]	Time 1.474 (0.933)	Data 1.459 (0.919)	Loss 0.4708 (0.3361)	ERR 0.626 (0.532)
Epoch: [0][960/2211]	Time 0.963 (0.935)	Data 0.949 (0.921)	Loss 0.4096 (0.3352)	ERR 0.587 (0.532)
Epoch: [0][970/2211]	Time 4.196 (0.954)	Data 4.181 (0.940)	Loss 0.2442 (0.3347)	ERR 0.488 (0.531)
Epoch: [0][980/2211]	Time 1.782 (0.971)	Data 1.771 (0.957)	Loss 0.1500 (0.3338)	ERR 0.382 (0.531)
Epoch: [0][990/2211]	Time 0.909 (0.974)	Data 0.895 (0.960)	Loss 0.1296 (0.3325)	ERR 0.338 (0.529)
Epoch: [0][1000/2211]	Time 1.197 (0.974)	Data 1.184 (0.960)	Loss 0.3106 (0.3320)	ERR 0.469 (0.529)
Epoch: [0][1010/2211]	Time 1.486 (0.975)	Data 1.472 (0.962)	Loss 0.2252 (0.3318)	ERR 0.472 (0.529)
Epoch: [0][1020/2211]	Time 1.013 (0.975)	Data 1.000 (0.961)	Loss 0.1365 (0.3303)	ERR 0.365 (0.527)
Epoch: [0][1030/2211]	Time 1.096 (0.974)	Data 1.082 (0.960)	Loss 0.1027 (0.3291)	ERR 0.305 (0.526)
Epoch: [0][1040/2211]	Time 0.602 (0.973)	Data 0.587 (0.960)	Loss 0.1800 (0.3282)	ERR 0.396 (0.525)
Epoch: [0][1050/2211]	Time 0.949 (0.972)	Data 0.935 (0.959)	Loss 0.2318 (0.3270)	ERR 0.478 (0.524)
Epoch: [0][1060/2211]	Time 0.877 (0.971)	Data 0.860 (0.957)	Loss 0.2150 (0.3264)	ERR 0.449 (0.524)
Epoch: [0][1070/2211]	Time 0.484 (0.969)	Data 0.468 (0.955)	Loss 0.0619 (0.3248)	ERR 0.249 (0.522)
Epoch: [0][1080/2211]	Time 1.350 (0.970)	Data 1.333 (0.956)	Loss 0.0937 (0.3236)	ERR 0.306 (0.521)
Epoch: [0][1090/2211]	Time 1.192 (0.970)	Data 1.179 (0.956)	Loss 0.2456 (0.3230)	ERR 0.442 (0.521)
Epoch: [0][1100/2211]	Time 0.918 (0.969)	Data 0.906 (0.955)	Loss 0.3152 (0.3220)	ERR 0.523 (0.520)
Epoch: [0][1110/2211]	Time 0.950 (0.969)	Data 0.937 (0.956)	Loss 0.0751 (0.3211)	ERR 0.252 (0.519)
Epoch: [0][1120/2211]	Time 0.776 (0.968)	Data 0.762 (0.955)	Loss 0.2253 (0.3204)	ERR 0.475 (0.518)
Epoch: [0][1130/2211]	Time 0.875 (0.967)	Data 0.860 (0.953)	Loss 0.0882 (0.3196)	ERR 0.270 (0.518)
Epoch: [0][1140/2211]	Time 1.167 (0.966)	Data 1.150 (0.952)	Loss 0.4162 (0.3192)	ERR 0.590 (0.517)
Epoch: [0][1150/2211]	Time 1.494 (0.967)	Data 1.479 (0.953)	Loss 0.3385 (0.3188)	ERR 0.568 (0.517)
Epoch: [0][1160/2211]	Time 1.200 (0.967)	Data 1.187 (0.953)	Loss 0.1283 (0.3179)	ERR 0.340 (0.516)
Epoch: [0][1170/2211]	Time 0.677 (0.966)	Data 0.664 (0.952)	Loss 0.0783 (0.3169)	ERR 0.261 (0.515)
Epoch: [0][1180/2211]	Time 0.755 (0.965)	Data 0.741 (0.951)	Loss 0.1298 (0.3164)	ERR 0.343 (0.515)
Epoch: [0][1190/2211]	Time 0.860 (0.964)	Data 0.847 (0.950)	Loss 0.4757 (0.3162)	ERR 0.592 (0.515)
Epoch: [0][1200/2211]	Time 1.079 (0.964)	Data 1.064 (0.951)	Loss 0.5281 (0.3157)	ERR 0.627 (0.514)
Epoch: [0][1210/2211]	Time 0.710 (0.963)	Data 0.698 (0.950)	Loss 0.2152 (0.3145)	ERR 0.415 (0.513)
Epoch: [0][1220/2211]	Time 0.897 (0.964)	Data 0.882 (0.950)	Loss 0.4004 (0.3143)	ERR 0.542 (0.513)
Epoch: [0][1230/2211]	Time 0.748 (0.964)	Data 0.735 (0.950)	Loss 0.1764 (0.3135)	ERR 0.375 (0.512)
Epoch: [0][1240/2211]	Time 0.645 (0.964)	Data 0.633 (0.950)	Loss 0.1673 (0.3132)	ERR 0.403 (0.512)
Epoch: [0][1250/2211]	Time 1.239 (0.964)	Data 1.227 (0.950)	Loss 0.2122 (0.3130)	ERR 0.413 (0.511)
Epoch: [0][1260/2211]	Time 0.616 (0.963)	Data 0.600 (0.949)	Loss 0.3389 (0.3125)	ERR 0.547 (0.511)
Epoch: [0][1270/2211]	Time 0.975 (0.963)	Data 0.963 (0.949)	Loss 0.2191 (0.3115)	ERR 0.462 (0.510)
