"","mpid","HMAX","LMAX","IPRmax","HMIN","LMIN","IPRmin","HMEAN","LMEAN","IPRmean","SumMAX","SumMEAN"
"95","mp-29236",0.9828015,0.944307047,0.9828015,0,0,0,0.31334472775,0.490777131,0.490777131,1.132212494,0.80412185875
"96","mp-29398",0.958312825,0.94498215,0.958312825,0,0,0,0.52205325675,0.4372857845,0.52205325675,1.376368008,0.95933904125
"97","mp-29678",0.447275875,0.646912329,0.646912329,-0.015459257,0,-0.015459257,0.12242440275,0.17462368925,0.17462368925,0.673874808,0.297048092
"98","mp-29792",0.966557021,0.573710982,0.966557021,0,0,0,0.47171504925,0.326966293,0.47171504925,1.540268003,0.79868134225
"99","mp-29946",0.522019369,0.975495128,0.975495128,0,0,0,0.3359128425,0.6561152945,0.6561152945,1.483831322,0.992028137
"101","mp-30126",0.964155666,0.977348897,0.977348897,0,0,0,0.51555196525,0.37846670525,0.51555196525,1.336720473,0.8940186705
"102","mp-30532",0.98129036,0.23395666,0.98129036,0,0,0,0.5654203355,0.105328579,0.5654203355,1.112009037,0.6707489145
"103","mp-3079",0.957716583,0.793779892,0.957716583,0,0,0,0.59634331275,0.40135730075,0.59634331275,1.360736641,0.9977006135
"104","mp-30949",0.186915532,0.845248546,0.845248546,0,0,0,0.0985080385,0.33291766975,0.33291766975,1.032164078,0.43142570825
"105","mp-3163",0.664506972,0.529278009,0.664506972,-0.121659538,0,-0.121659538,0.30063427925,0.23528686425,0.30063427925,1.002960237,0.5359211435
"106","mp-32684",0.975339907,0.987873835,0.987873835,0,0,0,0.510166157,0.458504117666667,0.510166157,1.543032399,0.968670274666667
"107","mp-33508",0.991949106,0.651760813,0.991949106,0,0,0,0.6563741375,0.43319515575,0.6563741375,1.553182501,1.08956929325
"108","mp-3486",0.756565802,0.230225394,0.756565802,-0.009962305,0,-0.009962305,0.37955367325,0.13245503225,0.37955367325,0.98191198,0.5120087055
"109","mp-3524",0.896722221,0.97031617,0.97031617,0,0,0,0.5938187905,0.27223681325,0.5938187905,1.613222425,0.86605560375
"110","mp-358",0.211314511,0.03507138,0.211314511,0,0,0,0.128714588666667,0.01563771,0.128714588666667,0.223156261,0.144352298666667
"111","mp-36641",0.978708437,0.563843812,0.978708437,0,0,0,0.5985091495,0.18315088725,0.5985091495,1.098231997,0.78166003675
"112","mp-3700",0.959820972,0.985935338,0.985935338,0,0,0,0.5890861765,0.2790058545,0.5890861765,1.460525412,0.868092031
"113","mp-3762",0.906108138,0.611137701,0.906108138,0,0,0,0.61278237625,0.26967997975,0.61278237625,1.392902208,0.882462356
"114","mp-3977",0.986160858,0.994788133,0.994788133,0,0,0,0.70645616425,0.36546552925,0.70645616425,1.852572861,1.0719216935
"115","mp-4043",0.917785672,0.901196437,0.917785672,0,0,0,0.62777696575,0.34311919825,0.62777696575,1.605405676,0.970896164
"116","mp-406",0.653161628,0.060630283,0.653161628,0,0,0,0.232597874333333,0.0272524516666667,0.232597874333333,0.713791911,0.259850326
"117","mp-4157",0.988950622,0.880792719,0.988950622,0,0,0,0.651706102,0.49156293575,0.651706102,1.849715771,1.14326903775
"119","mp-4840",0.496662007,0.965442196,0.965442196,0,-0.291169776,-0.291169776,0.2575773965,0.53033106425,0.53033106425,1.462104203,0.78790846075
"120","mp-4876",0.906733761,0.982617078,0.982617078,0,-0.00057119,-0.00057119,0.41467288225,0.2597889335,0.41467288225,1.176895365,0.67446181575
"121","mp-505222",0.807229967,0.878757481,0.878757481,0,0,0,0.476904026,0.42697699675,0.476904026,1.374057988,0.90388102275
"122","mp-5061",0.9223542,0.912659762,0.9223542,0,-0.000601994,-0.000601994,0.42675279825,0.33196379625,0.42675279825,1.336947629,0.7587165945
"123","mp-5238",0.838767303,0.931215592,0.931215592,-0.083725194,0,-0.083725194,0.25623607175,0.276882735,0.276882735,1.014940786,0.53311880675
"124","mp-541378",0.957788566,0.848421234,0.957788566,0,0,0,0.53762856975,0.2480410415,0.53762856975,1.304685952,0.78566961125
"125","mp-541837",0.930915286,0.707653168,0.930915286,0,0,0,0.364415113,0.408877105333333,0.408877105333333,1.449893434,0.773292218333333
"126","mp-545850",0.964262602,0.248816552,0.964262602,0,0,0,0.264459127,0.11263026475,0.264459127,1.069319898,0.37708939175
"127","mp-5513",0.870689851,0.875820846,0.875820846,0,0,0,0.49063065475,0.47845249525,0.49063065475,1.582155494,0.96908315
"128","mp-552098",0.25116862,0.101656568,0.25116862,-0.021966744,0,-0.021966744,0.068676885,0.04293761375,0.068676885,0.293724889,0.11161449875
"129","mp-552729",0.838590591,0.870275942,0.870275942,0,0,0,0.3116370725,0.33383070025,0.33383070025,1.26730743,0.64546777275
"130","mp-554722",0.973217145,0.908239146,0.973217145,0,0,0,0.59568833875,0.26439956125,0.59568833875,1.391360418,0.8600879
"131","mp-556550",0.935179337,0.843806991,0.935179337,0,0,0,0.6241696455,0.2832752235,0.6241696455,1.481105988,0.907444869
"132","mp-558984",0.995666013,0.974959856,0.995666013,0,0,0,0.639514982,0.602365004,0.639514982,1.642563491,1.241879986
"133","mp-567655",0.922281554,0.942496489,0.942496489,0,0,0,0.5481426516,0.5028445874,0.5481426516,1.683806268,1.050987239
"134","mp-567681",0.961899517,0.940557915,0.961899517,0,0,0,0.6355214325,0.6147076215,0.6355214325,1.764195284,1.250229054
"135","mp-569600",0.174155275,0.360260274,0.360260274,-0.263025622,0,-0.263025622,0.145726965666667,0.229604658333333,0.229604658333333,0.623285896,0.375331624
"136","mp-569707",0.979726513,0.870352643,0.979726513,0,0,0,0.46881945425,0.4668355405,0.46881945425,1.300693887,0.93565499475
"137","mp-570081",0.874749653,0.500477097,0.874749653,0,0,0,0.435524274666667,0.215086830333333,0.435524274666667,1.019533047,0.650611105
"138","mp-570886",0.926719922,0.972773692,0.972773692,0,0,0,0.492427634333333,0.383894073333333,0.492427634333333,1.523336673,0.876321707666667
"139","mp-571102",0.111615112,0.547960031,0.547960031,-0.006539955,0,-0.006539955,0.0393850223333333,0.184805556666667,0.184805556666667,0.554499986,0.224190579
"140","mp-571195",0.870505941,0.291231622,0.870505941,0,0,0,0.483439408333333,0.153402139333333,0.483439408333333,1.039480737,0.636841547666667
"141","mp-571260",0.973552058,0.962186981,0.973552058,0,0,0,0.504162037,0.56259008425,0.56259008425,1.566458435,1.06675212125
"142","mp-573514",0.883783693,0.515485957,0.883783693,0,0,0,0.539958285666667,0.262818427666667,0.539958285666667,1.251577121,0.802776713333333
"143","mp-573697",0.898624767,0.833967746,0.898624767,0,0,0,0.476461139,0.282104772,0.476461139,1.364726396,0.758565911
"144","mp-5853",0.976038185,0.773337413,0.976038185,0,0,0,0.517687878,0.225846311,0.517687878,1.07757547,0.743534189
"145","mp-5966",0.92306168,0.990492646,0.990492646,0,0,0,0.659049626,0.5093799465,0.659049626,1.913554326,1.1684295725
"146","mp-6031",0.963236418,0.823183635,0.963236418,0,0,0,0.6750015348,0.5398679032,0.6750015348,1.786420053,1.214869438
"147","mp-608555",0.95707323,0.97056231,0.97056231,0,0,0,0.5658555555,0.348447579,0.5658555555,1.455283007,0.9143031345
"148","mp-614013",0.731282425,0.82123565,0.82123565,0,-0.104214694,-0.104214694,0.239759397,0.253177144,0.253177144,0.876841867,0.492936541
"149","mp-625404",0.980094276,0.975733157,0.980094276,0,0,0,0.66358576175,0.36321769,0.66358576175,1.685375999,1.02680345175
"150","mp-6356",0.952233342,0.106712851,0.952233342,0,0,0,0.5092188916,0.0503783318,0.5092188916,1.058946193,0.5595972234
"151","mp-644271",0.962913498,0.597947943,0.962913498,0,0,0,0.6973730365,0.24472141575,0.6973730365,1.522149408,0.94209445225
"152","mp-6456",0.989806124,0.968560852,0.989806124,0,0,0,0.6995689698,0.6463197898,0.6995689698,1.826380863,1.3458887596
"153","mp-6492",0.958243096,0.96123206,0.96123206,0,0,0,0.3909501042,0.2434240468,0.3909501042,1.306114209,0.634374151
"154","mp-6557",0.987887706,0.998178173,0.998178173,0,0,0,0.6807998382,0.6260707488,0.6807998382,1.957834611,1.306870587
"155","mp-6560",0.972363802,0.925514677,0.972363802,0,0,0,0.589819537,0.6736798866,0.6736798866,1.897527204,1.2634994236
"156","mp-669458",0.989737554,0.991375816,0.991375816,0,0,0,0.658662303,0.590619682,0.658662303,1.760110628,1.249281985
"157","mp-6695",0.975696355,0.987666328,0.987666328,0,0,0,0.7223258274,0.490087737,0.7223258274,1.952576646,1.2124135644
"158","mp-672",0.884072718,0.156287852,0.884072718,0,0,0,0.447167819,0.0958014943333333,0.447167819,1.04036057,0.542969313333333
"159","mp-675011",0.876753195,0.991446317,0.991446317,0,0,0,0.6173018235,0.318450796,0.6173018235,1.826281092,0.9357526195
"160","mp-676049",0.961768379,0.959472345,0.961768379,0,0,0,0.67400685025,0.31446499825,0.67400685025,1.733024248,0.9884718485
"161","mp-677072",0.866392696,0.836722251,0.866392696,0,0,0,0.44074315725,0.2940120915,0.44074315725,1.015236836,0.73475524875
"162","mp-691",0.455390977,0.567226739,0.567226739,0,0,0,0.208404789333333,0.234612758666667,0.234612758666667,0.73705013,0.443017548
"163","mp-696736",0.978982873,0.920615519,0.978982873,0,0,0,0.573744939,0.34346856225,0.573744939,1.275128781,0.91721350125
"164","mp-6987",0.914658945,0.941526557,0.941526557,0,0,0,0.58898971175,0.34737999175,0.58898971175,1.567226585,0.9363697035
